district name,amenity type,source node,amenity type
Tempelhof-Schöneberg,amusement_arcade,63,284
Friedrichshain-Kreuzberg,miniature_golf,63,265
Friedrichshain-Kreuzberg,amusement_arcade,63,480
Charlottenburg-Wilmersdorf,bowling_alley,63,146
Charlottenburg-Wilmersdorf,stadium,62,268
Reinickendorf,track,62,1930
Reinickendorf,swimming_pool,62,14612
Treptow-Köpenick,park,61,4021
Marzahn-Hellersdorf,picnic_table,61,1698
Charlottenburg-Wilmersdorf,picnic_table,61,1034
Reinickendorf,dog_park,60,562
Neukölln,sports_hall,60,1789
Neukölln,swimming_pool,60,1973
Neukölln,playground,60,31295
Mitte,amusement_arcade,60,387
Reinickendorf,sports_centre,60,4736
Neukölln,outdoor_seating,60,4081
Reinickendorf,outdoor_seating,60,636
Neukölln,fitness_centre,60,2463
Neukölln,fitness_station,60,3242
Charlottenburg-Wilmersdorf,dog_park,60,246
Reinickendorf,fitness_centre,60,1295
Neukölln,park,60,12609
Neukölln,track,60,2291
Charlottenburg-Wilmersdorf,firepit,59,146
Charlottenburg-Wilmersdorf,sauna,59,625
Neukölln,dog_park,59,664
Reinickendorf,garden,59,6080
Treptow-Köpenick,picnic_table,59,902
Reinickendorf,sports_hall,59,613
Tempelhof-Schöneberg,firepit,59,159
Friedrichshain-Kreuzberg,sport,59,78
Marzahn-Hellersdorf,outdoor_seating,58,169
Treptow-Köpenick,fitness_centre,58,651
Marzahn-Hellersdorf,fitness_station,58,763
Friedrichshain-Kreuzberg,concert_location,58,84
Spandau,bleachers,58,105
Tempelhof-Schöneberg,marina,57,191
Treptow-Köpenick,sports_centre,57,1830
Lichtenberg,fitness_centre,57,1897
Reinickendorf,fitness_station,57,1707
Reinickendorf,picnic_table,57,980
Reinickendorf,tanning_salon,57,194
Mitte,bowling_alley,57,147
Neukölln,bandstand,57,148
Treptow-Köpenick,track,57,1010
Spandau,fitness_station,56,348
Neukölln,stadium,56,190
Marzahn-Hellersdorf,sauna,56,182
Charlottenburg-Wilmersdorf,escape_game,56,192
Treptow-Köpenick,sports_hall,56,355
Spandau,dance,56,118
Steglitz-Zehlendorf,miniature_golf,56,301
Spandau,tanning_salon,55,61
Lichtenberg,track,55,1336
Reinickendorf,dance,55,348
Lichtenberg,dog_park,55,160
Lichtenberg,picnic_table,55,3620
Steglitz-Zehlendorf,nature_reserve,55,149
Tempelhof-Schöneberg,indoor_play,54,78
Charlottenburg-Wilmersdorf,marina,54,79
Neukölln,dance,54,1048
Neukölln,bleachers,54,457
Charlottenburg-Wilmersdorf,miniature_golf,54,130
Lichtenberg,fitness_station,54,1117
Lichtenberg,dance,54,299
Steglitz-Zehlendorf,stadium,54,205
Tempelhof-Schöneberg,golf_course,54,78
Neukölln,tanning_salon,54,213
Steglitz-Zehlendorf,dog_park,54,122
Neukölln,miniature_golf,54,267
Spandau,marina,54,398
Neukölln,schoolyard,53,141
Reinickendorf,miniature_golf,53,136
Steglitz-Zehlendorf,disc_golf_course,53,64
Tempelhof-Schöneberg,ice_rink,53,142
Reinickendorf,sauna,53,196
Tempelhof-Schöneberg,hackerspace,53,161
Mitte,marina,53,129
Treptow-Köpenick,adult_gaming_centre,52,130
Lichtenberg,outdoor_seating,52,800
Tempelhof-Schöneberg,parklet,52,482
Charlottenburg-Wilmersdorf,schoolyard,52,74
Steglitz-Zehlendorf,adult_gaming_centre,52,213
Lichtenberg,sauna,52,251
Steglitz-Zehlendorf,ice_rink,52,114
Charlottenburg-Wilmersdorf,bandstand,51,121
Mitte,bandstand,51,111
Steglitz-Zehlendorf,tanning_salon,51,173
Lichtenberg,swimming_pool,51,997
Treptow-Köpenick,swimming_pool,51,1527
Tempelhof-Schöneberg,indoor_playground,50,74
Treptow-Köpenick,garden,50,3497
Reinickendorf,adult_gaming_centre,50,614
Steglitz-Zehlendorf,horse_riding,50,76
Tempelhof-Schöneberg,common,50,74
Steglitz-Zehlendorf,firepit,49,135
Marzahn-Hellersdorf,dance,49,80
Lichtenberg,escape_game,49,264
Neukölln,adult_gaming_centre,49,353
Mitte,swimming_area,49,62
Charlottenburg-Wilmersdorf,ice_rink,49,146
Lichtenberg,adult_gaming_centre,48,276
Steglitz-Zehlendorf,hackerspace,48,61
Marzahn-Hellersdorf,adult_gaming_centre,47,132
Lichtenberg,stadium,47,124
Neukölln,table,47,132
Lichtenberg,hackerspace,47,155
Mitte,arena,47,60
Charlottenburg-Wilmersdorf,flightsimulation,46,68
Treptow-Köpenick,fitness_station,46,503
Lichtenberg,bowling_alley,46,111
Spandau,dog_park,46,79
Neukölln,bird_hide,46,345
Marzahn-Hellersdorf,dog_park,46,167
Treptow-Köpenick,marina,45,316
Reinickendorf,schoolyard,45,63
Tempelhof-Schöneberg,bowling_alley,44,85
Lichtenberg,schoolyard,44,131
Lichtenberg,bleachers,44,94
Friedrichshain-Kreuzberg,tanning_salon,43,60
Lichtenberg,parklet,42,325
Mitte,flightsimulation,42,55
Charlottenburg-Wilmersdorf,horse_riding,42,121
Treptow-Köpenick,stadium,42,88
Tempelhof-Schöneberg,escape_game,41,380
Treptow-Köpenick,slipway,41,64
Neukölln,sauna,41,231
Neukölln,firepit,41,134
Tempelhof-Schöneberg,pit,40,81
Spandau,slipway,40,153
Reinickendorf,bleachers,39,397
Friedrichshain-Kreuzberg,table,39,96
Friedrichshain-Kreuzberg,pit,39,81
Neukölln,amusement_arcade,39,86
Marzahn-Hellersdorf,bowling_alley,39,50
Treptow-Köpenick,dog_park,38,102
Friedrichshain-Kreuzberg,nature_reserve,38,96
Friedrichshain-Kreuzberg,arena,38,44
Lichtenberg,concert_location,37,42
Tempelhof-Schöneberg,arena,37,60
Treptow-Köpenick,outdoor_seating,37,575
Tempelhof-Schöneberg,disc_golf_course,37,46
