district name,amenity type,source node,amenity type
Tempelhof-Schöneberg,tyres,382,2582
Treptow-Köpenick,funeral_directors,381,7013
Treptow-Köpenick,beauty,381,23117
Tempelhof-Schöneberg,mall,378,5690
Tempelhof-Schöneberg,alcohol,377,12392
Tempelhof-Schöneberg,interior_decoration,376,27189
Tempelhof-Schöneberg,wholesale,376,5317
Treptow-Köpenick,convenience,376,29265
Tempelhof-Schöneberg,perfumery,376,6349
Tempelhof-Schöneberg,wine,373,10239
Treptow-Köpenick,kiosk,372,15785
Tempelhof-Schöneberg,photo,372,5677
Steglitz-Zehlendorf,curtain,370,4757
Charlottenburg-Wilmersdorf,kiosk,368,94522
Charlottenburg-Wilmersdorf,furniture,368,49100
Charlottenburg-Wilmersdorf,laundry,368,29524
Charlottenburg-Wilmersdorf,supermarket,368,136478
Charlottenburg-Wilmersdorf,bakery,368,159079
Charlottenburg-Wilmersdorf,florist,368,91877
Charlottenburg-Wilmersdorf,convenience,368,99557
Charlottenburg-Wilmersdorf,interior_decoration,368,72316
Charlottenburg-Wilmersdorf,hairdresser,368,349508
Charlottenburg-Wilmersdorf,chemist,368,29032
Charlottenburg-Wilmersdorf,ticket,368,9969
Steglitz-Zehlendorf,boutique,368,1817
Charlottenburg-Wilmersdorf,bicycle,368,38656
Charlottenburg-Wilmersdorf,clothes,367,305524
Charlottenburg-Wilmersdorf,optician,367,63307
Charlottenburg-Wilmersdorf,medical_supply,367,31059
Charlottenburg-Wilmersdorf,deli,367,45755
Charlottenburg-Wilmersdorf,massage,367,67836
Charlottenburg-Wilmersdorf,gift,367,20080
Charlottenburg-Wilmersdorf,jewelry,367,82540
Charlottenburg-Wilmersdorf,books,367,51341
Charlottenburg-Wilmersdorf,funeral_directors,367,19190
Charlottenburg-Wilmersdorf,houseware,367,11944
Steglitz-Zehlendorf,outdoor,366,1453
Charlottenburg-Wilmersdorf,tea,366,11232
Charlottenburg-Wilmersdorf,travel_agency,366,56214
Steglitz-Zehlendorf,trade,366,1707
Treptow-Köpenick,car_repair,366,20225
Charlottenburg-Wilmersdorf,shoes,366,45279
Charlottenburg-Wilmersdorf,cosmetics,366,26306
Charlottenburg-Wilmersdorf,copyshop,366,21189
Charlottenburg-Wilmersdorf,butcher,366,13224
