district name,amenity type,source node,amenity type
Tempelhof-Schöneberg,adult_gaming_centre,289,3861
Neukölln,stadium,288,1367
Marzahn-Hellersdorf,sports_hall,286,9633
Reinickendorf,fitness_station,283,9900
Treptow-Köpenick,marina,279,4915
Spandau,sports_hall,278,3403
Marzahn-Hellersdorf,swimming_pool,277,8847
Charlottenburg-Wilmersdorf,escape_game,276,1469
Tempelhof-Schöneberg,marina,275,1103
Neukölln,tanning_salon,274,1618
Neukölln,bandstand,273,1082
Neukölln,dog_park,271,3655
Neukölln,miniature_golf,271,1636
Neukölln,dance,270,6093
Neukölln,bleachers,267,2800
Charlottenburg-Wilmersdorf,marina,262,628
Tempelhof-Schöneberg,ice_rink,260,772
Reinickendorf,miniature_golf,260,959
Steglitz-Zehlendorf,firepit,260,1570
Charlottenburg-Wilmersdorf,schoolyard,257,599
Treptow-Köpenick,slipway,256,1019
Tempelhof-Schöneberg,amusement_arcade,255,1204
Mitte,tanning_salon,254,941
Mitte,event_location,250,490
Mitte,water_park;sauna,248,475
Charlottenburg-Wilmersdorf,bandstand,248,798
Marzahn-Hellersdorf,picnic_table,247,14587
Spandau,picnic_table,243,2258
Charlottenburg-Wilmersdorf,horse_riding,241,1173
Reinickendorf,dance,241,2147
Mitte,pit,240,541
Mitte,amusement_arcade,239,2382
Marzahn-Hellersdorf,adult_gaming_centre,238,1741
Spandau,adult_gaming_centre,237,6475
Spandau,outdoor_seating,235,4395
Marzahn-Hellersdorf,fitness_station,229,7322
Marzahn-Hellersdorf,dog_park,229,1308
Spandau,garden,229,16817
Treptow-Köpenick,sauna,228,852
Treptow-Köpenick,dog_park,228,1201
Treptow-Köpenick,outdoor_seating,225,6902
Spandau,fitness_centre,223,2059
Neukölln,schoolyard,222,843
Mitte,bowling_alley,222,954
Spandau,swimming_pool,222,20296
Mitte,marina,220,888
Marzahn-Hellersdorf,outdoor_seating,219,1477
Spandau,bleachers,216,798
Neukölln,adult_gaming_centre,215,2072
Neukölln,horse_riding,214,644
Lichtenberg,pitch,213,130432
Lichtenberg,playground,213,125471
Lichtenberg,park,213,55183
Spandau,marina,212,3336
Spandau,dance,208,866
Marzahn-Hellersdorf,sauna,207,1438
Spandau,tanning_salon,206,448
Neukölln,sauna,204,1482
Reinickendorf,adult_gaming_centre,203,3236
Tempelhof-Schöneberg,golf_course,202,398
Lichtenberg,garden,202,25858
Neukölln,slipway,200,505
Charlottenburg-Wilmersdorf,hackerspace,200,775
Lichtenberg,sports_hall,199,10067
Tempelhof-Schöneberg,indoor_play,198,385
Tempelhof-Schöneberg,firepit,197,677
Spandau,fitness_station,196,2604
Mitte,arena,195,361
Tempelhof-Schöneberg,hackerspace,195,750
Lichtenberg,sports_centre,195,12664
Treptow-Köpenick,nature_reserve,193,1046
Tempelhof-Schöneberg,disc_golf_course,191,364
Friedrichshain-Kreuzberg,dance,190,10692
Friedrichshain-Kreuzberg,garden,189,105897
Friedrichshain-Kreuzberg,sports_centre,189,40939
Friedrichshain-Kreuzberg,park,189,101533
Friedrichshain-Kreuzberg,track,189,15582
Friedrichshain-Kreuzberg,picnic_table,189,24526
Friedrichshain-Kreuzberg,pitch,189,293106
Friedrichshain-Kreuzberg,playground,189,221595
Friedrichshain-Kreuzberg,outdoor_seating,188,31576
Friedrichshain-Kreuzberg,adult_gaming_centre,188,3480
Friedrichshain-Kreuzberg,escape_game,188,3511
Friedrichshain-Kreuzberg,dog_park,188,3908
Friedrichshain-Kreuzberg,sports_hall,188,14896
Friedrichshain-Kreuzberg,fitness_centre,188,32774
Friedrichshain-Kreuzberg,swimming_pool,187,6127
Friedrichshain-Kreuzberg,hackerspace,187,3799
Friedrichshain-Kreuzberg,parklet,186,8836
Lichtenberg,fitness_centre,186,10208
Friedrichshain-Kreuzberg,schoolyard,186,841
Friedrichshain-Kreuzberg,fitness_station,185,25199
Reinickendorf,nature_reserve,185,583
Mitte,bandstand,185,572
Friedrichshain-Kreuzberg,bleachers,185,3911
Charlottenburg-Wilmersdorf,indoor_play,184,450
Friedrichshain-Kreuzberg,music_venue,184,1277
Friedrichshain-Kreuzberg,sauna,184,3040
Friedrichshain-Kreuzberg,stadium,182,1296
Tempelhof-Schöneberg,horse_riding,182,396
Friedrichshain-Kreuzberg,bowling_alley,182,1341
Reinickendorf,schoolyard,181,369
Treptow-Köpenick,hammock,180,1098
Treptow-Köpenick,dance,180,1289
Spandau,dog_park,178,715
Friedrichshain-Kreuzberg,firepit,177,981
Steglitz-Zehlendorf,trampoline_park,175,422
Lichtenberg,track,174,7505
Tempelhof-Schöneberg,common,174,350
Lichtenberg,dance,172,1643
Lichtenberg,fitness_station,172,6378
Friedrichshain-Kreuzberg,parket,172,550
Friedrichshain-Kreuzberg,amusement_arcade,172,2008
Neukölln,table,171,710
Lichtenberg,picnic_table,171,20794
Charlottenburg-Wilmersdorf,flightsimulation,171,387
Neukölln,nature_reserve,171,610
Lichtenberg,dog_park,170,813
Friedrichshain-Kreuzberg,marina,170,1633
Neukölln,firepit,169,745
Friedrichshain-Kreuzberg,miniature_golf,169,1104
Tempelhof-Schöneberg,grandstand,168,1048
Spandau,slipway,166,1218
Friedrichshain-Kreuzberg,sport,166,325
Marzahn-Hellersdorf,dance,165,523
Lichtenberg,outdoor_seating,165,4497
Tempelhof-Schöneberg,parklet,164,2272
Steglitz-Zehlendorf,indoor_play,163,405
Tempelhof-Schöneberg,indoor_playground,163,326
Charlottenburg-Wilmersdorf,common,161,370
Lichtenberg,swimming_pool,161,5471
Mitte,flightsimulation,160,309
Mitte,swimming_area,160,327
Lichtenberg,sauna,160,1424
Tempelhof-Schöneberg,schoolyard,159,373
Spandau,miniature_golf,157,610
Lichtenberg,adult_gaming_centre,155,1486
Lichtenberg,stadium,153,705
Treptow-Köpenick,horse_riding,152,404
Lichtenberg,escape_game,151,1415
Lichtenberg,hackerspace,150,844
Lichtenberg,schoolyard,148,723
Reinickendorf,bowling_alley,147,325
Neukölln,bird_hide,145,1600
Neukölln,marina,145,1197
Friedrichshain-Kreuzberg,ceramic_painting,143,298
Tempelhof-Schöneberg,bowling_alley,139,401
Mitte,indoor_play,138,256
Lichtenberg,bowling_alley,137,630
Tempelhof-Schöneberg,escape_game,136,1321
Neukölln,amusement_arcade,136,699
Friedrichshain-Kreuzberg,tanning_salon,132,269
Reinickendorf,horse_riding,131,927
Lichtenberg,parklet,130,1631
Friedrichshain-Kreuzberg,pit,130,398
Friedrichshain-Kreuzberg,arena,128,221
Lichtenberg,bleachers,128,597
Charlottenburg-Wilmersdorf,nature_reserve,126,418
Friedrichshain-Kreuzberg,water_park;sauna,126,218
Reinickendorf,bleachers,123,1959
Mitte,parket,121,330
Friedrichshain-Kreuzberg,concert_location,121,264
Mitte,schoolyard,115,285
Neukölln,parklet,115,5110
Neukölln,bowling_alley,115,479
Mitte,sport,114,214
Lichtenberg,concert_location,114,232
Marzahn-Hellersdorf,bowling_alley,114,321
Tempelhof-Schöneberg,pit,113,329
Charlottenburg-Wilmersdorf,golf_course,112,272
Treptow-Köpenick,bandstand,111,287
Treptow-Köpenick,firepit,110,402
Marzahn-Hellersdorf,indoor_play,109,277
Friedrichshain-Kreuzberg,disc_golf_course,109,177
Friedrichshain-Kreuzberg,indoor_playground,109,177
Neukölln,hackerspace,109,1039
Neukölln,pit,108,263
Treptow-Köpenick,cultural_institution,107,276
Treptow-Köpenick,schoolyard,104,382
Steglitz-Zehlendorf,amusement_arcade,104,254
Marzahn-Hellersdorf,gymnasium,102,267
Lichtenberg,slipway,101,366
Friedrichshain-Kreuzberg,table,99,344
Tempelhof-Schöneberg,trampoline_park,97,211
Lichtenberg,marina,95,760
Lichtenberg,ceramic_painting,95,190
Friedrichshain-Kreuzberg,bird_hide,95,790
Neukölln,disc_golf_course,94,214
Reinickendorf,escape_game,94,207
Neukölln,music_venue,94,711
Reinickendorf,hackerspace,93,624
Tempelhof-Schöneberg,arena,92,196
Reinickendorf,firepit,92,236
