district name,amenity type,source node,amenity type
Tempelhof-Schöneberg,sports,75,2799
Tempelhof-Schöneberg,bicycle,75,7229
Spandau,stationery,75,243
Tempelhof-Schöneberg,locksmith,75,2075
Tempelhof-Schöneberg,hearing_aids,75,2562
Tempelhof-Schöneberg,tailor,75,6042
Spandau,mall,75,140
Tempelhof-Schöneberg,supermarket,75,19038
Tempelhof-Schöneberg,hairdresser,75,40682
Tempelhof-Schöneberg,beauty,75,27475
Tempelhof-Schöneberg,medical_supply,75,3523
Tempelhof-Schöneberg,books,75,7078
Tempelhof-Schöneberg,greengrocer,75,1538
Steglitz-Zehlendorf,tailor,75,2456
Tempelhof-Schöneberg,confectionery,74,1998
Mitte,grocery,74,178
Tempelhof-Schöneberg,window_blind,74,795
Tempelhof-Schöneberg,newsagent,74,3113
Steglitz-Zehlendorf,photo,74,307
Tempelhof-Schöneberg,laundry,74,2545
Steglitz-Zehlendorf,interior_decoration,74,1251
Steglitz-Zehlendorf,laundry,74,916
Tempelhof-Schöneberg,cosmetics,74,3133
Spandau,medical_supply,74,140
Tempelhof-Schöneberg,car,74,4168
Steglitz-Zehlendorf,perfumery,74,578
Steglitz-Zehlendorf,massage,74,2533
Tempelhof-Schöneberg,shoes,74,5634
Tempelhof-Schöneberg,stationery,74,2756
Tempelhof-Schöneberg,variety_store,74,1753
Steglitz-Zehlendorf,sports,74,972
Tempelhof-Schöneberg,electronics,74,2885
Tempelhof-Schöneberg,toys,74,3048
Steglitz-Zehlendorf,department_store,74,606
Mitte,flooring,73,205
Marzahn-Hellersdorf,beauty,73,1045
Tempelhof-Schöneberg,alcohol,73,2769
Steglitz-Zehlendorf,bookmaker,73,497
Tempelhof-Schöneberg,tattoo,73,1872
Friedrichshain-Kreuzberg,florist,73,8631
Tempelhof-Schöneberg,interior_decoration,73,6728
Tempelhof-Schöneberg,funeral_directors,73,2375
Mitte,hookah,73,128
Steglitz-Zehlendorf,cosmetics,73,1067
